Date,"Seabed mining","Anglerfish"
2025-02-21,22,9516
2025-02-22,32,8155
2025-02-23,246,6971
2025-02-24,90,6146
2025-02-25,43,8707
2025-02-26,23,12173
2025-02-27,29,11315
2025-02-28,22,8613
2025-03-01,16,7285
2025-03-02,25,6492
2025-03-03,18,4574
2025-03-04,26,3755
2025-03-05,11,3166
2025-03-06,23,3108
2025-03-07,27,3111
2025-03-08,17,2684
2025-03-09,20,2509
2025-03-10,16,2288
2025-03-11,19,2130
2025-03-12,24,2163
2025-03-13,15,1975
2025-03-14,28,2077
2025-03-15,16,2049
2025-03-16,16,2159
2025-03-17,19,2420
2025-03-18,26,1900
2025-03-19,11,2055
2025-03-20,21,1913
2025-03-21,15,1674
2025-03-22,13,1741
2025-03-23,17,2036
2025-03-24,16,1826
2025-03-25,21,1513
2025-03-26,20,1695
2025-03-27,17,1579
2025-03-28,23,1623
2025-03-29,16,1460
2025-03-30,26,1496
2025-03-31,51,1624
2025-04-01,32,1541
2025-04-02,23,1356
2025-04-03,26,1289
2025-04-04,16,1312
2025-04-05,24,3150
2025-04-06,18,1643
2025-04-07,17,1417
2025-04-08,25,1312
2025-04-09,13,1273
2025-04-10,17,1303
2025-04-11,19,1305
2025-04-12,9,1363
2025-04-13,12,1345
2025-04-14,30,1444
2025-04-15,18,1361
2025-04-16,27,1547
2025-04-17,32,1480
2025-04-18,19,1366
2025-04-19,17,1340
2025-04-20,15,1537
2025-04-21,16,1632
2025-04-22,16,1473
2025-04-23,11,1453
2025-04-24,69,1570
2025-04-25,190,2113
2025-04-26,76,5065
2025-04-27,35,9429
2025-04-28,59,1923
2025-04-29,36,1495
2025-04-30,32,1422
2025-05-01,35,1318
2025-05-02,16,1342
2025-05-03,18,1246
2025-05-04,27,1345
2025-05-05,23,1280
2025-05-06,25,1432
2025-05-07,20,1255
2025-05-08,23,1301
2025-05-09,21,1356
2025-05-10,17,1365
2025-05-11,20,1317
2025-05-12,28,1564
2025-05-13,25,1496
2025-05-14,24,1558
2025-05-15,34,1265
2025-05-16,33,1159
2025-05-17,16,1112
2025-05-18,17,1211
2025-05-19,30,1346
2025-05-20,40,1185
2025-05-21,23,1187
2025-05-22,24,1202
2025-05-23,20,1019
2025-05-24,23,1023
2025-05-25,15,1185
2025-05-26,25,1179
2025-05-27,31,1308
2025-05-28,25,1328
2025-05-29,32,1470
2025-05-30,18,1265
2025-05-31,12,1102
2025-06-01,15,1080
2025-06-02,27,1194
2025-06-03,16,1482
2025-06-04,26,1635
2025-06-05,22,1598
2025-06-06,19,1501
2025-06-07,26,1332
2025-06-08,28,1367
2025-06-09,20,1338
2025-06-10,20,1298
2025-06-11,24,1217
2025-06-12,37,1104
2025-06-13,19,949
2025-06-14,20,1075
2025-06-15,17,1109
2025-06-16,19,1234
2025-06-17,33,1193
2025-06-18,31,985
2025-06-19,13,1042
2025-06-20,14,1072
2025-06-21,22,1082
