Date,"Polar bear","Great white shark","Blue whale","Anglerfish"
2024-05-29,3045,2445,3283,1619
2024-05-30,2584,2309,3046,1786
2024-05-31,2421,2292,2649,2528
2024-06-01,2229,2257,2662,1692
2024-06-02,2325,2149,2991,1563
2024-06-03,2893,2509,3005,1634
2024-06-04,2731,2376,3040,1680
2024-06-05,2741,2460,2679,1956
2024-06-06,2731,2835,2755,1487
2024-06-07,2444,2884,3201,1634
2024-06-08,2347,3105,3304,2495
2024-06-09,2555,3620,2858,2913
2024-06-10,2869,3276,2853,2669
2024-06-11,2856,3142,3475,2036
2024-06-12,2720,2795,2817,1586
2024-06-13,2632,2873,2772,1739
2024-06-14,2591,2680,3079,1526
2024-06-15,2126,2730,2836,1440
2024-06-16,2390,3133,3058,1548
2024-06-17,2521,3190,3112,1518
2024-06-18,2445,2831,3203,1272
2024-06-19,2488,2593,2539,1273
2024-06-20,2643,2610,2640,1213
2024-06-21,2355,2599,2945,1139
2024-06-22,2280,2573,2963,1154
2024-06-23,2324,2704,3274,2074
2024-06-24,2779,3406,2938,4843
2024-06-25,2346,2863,2498,1375
2024-06-26,2355,2636,2630,1421
2024-06-27,2312,2472,2542,1409
2024-06-28,2152,2096,2335,1346
2024-06-29,2217,2876,2580,1324
2024-06-30,2348,3141,2657,1298
2024-07-01,2474,2880,2527,1398
2024-07-02,2450,2584,2529,1205
2024-07-03,2339,2834,2473,1503
2024-07-04,2416,3481,2717,1262
2024-07-05,2235,4634,2706,1163
2024-07-06,2102,4408,2672,1274
2024-07-07,2245,4613,3037,1341
2024-07-08,2440,5356,2956,1295
2024-07-09,2704,5944,3880,1300
2024-07-10,2466,4382,5114,1373
2024-07-11,2357,4222,4247,1439
2024-07-12,2338,4085,3617,1486
2024-07-13,2455,4257,3100,1400
2024-07-14,2262,3722,2889,1282
2024-07-15,2270,3706,3090,1113
2024-07-16,2283,3495,3256,1180
2024-07-17,2488,3156,3245,1313
2024-07-18,2412,2911,2618,1314
2024-07-19,2128,2930,2475,1319
2024-07-20,2348,3465,2694,1433
2024-07-21,2519,3447,3148,1577
2024-07-22,2357,3345,2800,1429
2024-07-23,2419,3236,2773,1781
2024-07-24,2449,4497,3454,1393
2024-07-25,2450,3437,3160,1525
2024-07-26,2220,3018,3023,1320
2024-07-27,2225,2851,2862,1199
2024-07-28,2242,3193,3073,1305
2024-07-29,2456,3099,3064,1294
2024-07-30,2307,2797,2889,1260
2024-07-31,2201,2656,2619,1201
2024-08-01,2248,2697,2728,1122
2024-08-02,2172,2524,3241,1133
2024-08-03,1969,2784,3517,1257
2024-08-04,2199,2969,3306,1260
2024-08-05,2107,2894,2867,1170
2024-08-06,2082,2740,2889,1258
2024-08-07,2030,2561,2977,1154
2024-08-08,2165,2796,2629,1518
2024-08-09,2140,2585,2290,1352
2024-08-10,2035,2447,2497,1572
2024-08-11,2215,2847,2896,2812
2024-08-12,2423,2648,2873,6324
2024-08-13,2744,2642,2625,3451
2024-08-14,2874,2633,2859,3236
2024-08-15,2390,2793,2777,2747
2024-08-16,2157,2833,2677,2735
2024-08-17,2207,2867,3015,2326
2024-08-18,2352,2835,3341,2077
2024-08-19,2537,2888,3241,1819
2024-08-20,2516,2581,2975,1659
2024-08-21,2554,2480,2965,1418
2024-08-22,2506,2422,2809,1486
2024-08-23,2391,2630,2627,1409
2024-08-24,2373,2542,2651,1344
2024-08-25,2461,2768,3266,1342
2024-08-26,2665,2772,3443,1410
2024-08-27,2678,2486,3182,1286
2024-08-28,2548,2420,2814,1201
2024-08-29,2695,2441,2769,1310
2024-08-30,2496,2379,2785,1308
2024-08-31,2296,2277,2877,1244
2024-09-01,2436,2430,2903,1305
2024-09-02,2619,2644,2975,1271
2024-09-03,2686,2663,2750,1387
2024-09-04,2492,3388,2497,1275
2024-09-05,2593,3049,2300,1251
2024-09-06,2395,2694,2349,1248
2024-09-07,2284,2881,2424,1263
2024-09-08,3984,2535,2669,1241
2024-09-09,2932,2456,2510,1831
2024-09-10,2724,2249,2283,1598
2024-09-11,2602,2115,2345,1262
2024-09-12,2814,2220,2593,1365
2024-09-13,2549,2194,2309,1346
2024-09-14,2306,2358,2345,1233
2024-09-15,2510,2203,2539,1314
2024-09-16,2881,2293,2775,1347
2024-09-17,2836,2393,2585,1329
2024-09-18,2921,2600,2566,1283
