Date,"Anglerfish","Kendrick Lamar"
2025-07-20,1105,8185
2025-07-21,1164,7458
2025-07-22,1113,7368
2025-07-23,1046,8500
2025-07-24,1482,8056
2025-07-25,1496,7050
2025-07-26,1611,6343
2025-07-27,1758,6627
2025-07-28,1443,6544
2025-07-29,1208,6456
2025-07-30,1210,6864
2025-07-31,1356,6944
2025-08-01,1303,6811
2025-08-02,1197,7211
2025-08-03,1197,7567
2025-08-04,1167,6790
2025-08-05,1135,7067
2025-08-06,1422,7041
2025-08-07,1399,6780
2025-08-08,1462,6507
2025-08-09,1076,6801
2025-08-10,1139,6666
2025-08-11,1201,6224
2025-08-12,1216,6091
2025-08-13,1184,6730
2025-08-14,1189,6604
2025-08-15,1086,6147
2025-08-16,952,6061
2025-08-17,1130,5947
2025-08-18,1123,5831
2025-08-19,1262,5663
2025-08-20,1217,6216
2025-08-21,1097,5603
2025-08-22,1064,5604
2025-08-23,1062,5882
2025-08-24,1176,10653
2025-08-25,1082,6604
2025-08-26,1179,6017
2025-08-27,1119,5803
2025-08-28,1206,5866
2025-08-29,1127,5640
2025-08-30,989,5547
2025-08-31,1012,5565
2025-09-01,1169,5451
2025-09-02,1059,5435
2025-09-03,1131,5773
2025-09-04,1077,5582
2025-09-05,1020,5486
2025-09-06,975,5739
2025-09-07,1024,5917
2025-09-08,1122,7896
2025-09-09,1029,6315
2025-09-10,1028,6016
2025-09-11,973,5132
2025-09-12,985,5483
2025-09-13,947,5761
2025-09-14,1298,6359
2025-09-15,2968,6987
2025-09-16,1163,7287
2025-09-17,1036,5906
2025-09-18,1056,5674
2025-09-19,1008,6318
2025-09-20,1023,5620
2025-09-21,1025,5339
2025-09-22,1782,5259
2025-09-23,1389,5389
2025-09-24,1028,5769
2025-09-25,1264,5438
2025-09-26,1445,5310
2025-09-27,1202,5109
2025-09-28,1938,5547
2025-09-29,2181,7004
2025-09-30,4709,5945
2025-10-01,2014,5846
2025-10-02,1363,6038
2025-10-03,1131,6704
2025-10-04,1160,6438
2025-10-05,1165,6329
2025-10-06,1074,6021
2025-10-07,1174,5928
2025-10-08,1150,6031
2025-10-09,1103,6204
2025-10-10,996,7616
2025-10-11,983,6041
